year,frequent_word,site,count_of_frequent_word,url
2019,conselho de segurança,publico,15633,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,conselho de segurança,publico,17892,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,conselho de segurança,publico,0,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,conselho de segurança,publico,0,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,conselho de segurança,publico,0,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,república democrática do congo,publico,5393,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,república democrática do congo,publico,1428,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,república democrática do congo,publico,0,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,república democrática do congo,publico,0,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,república democrática do congo,publico,0,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,dr congo,publico,328,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,dr congo,publico,391,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,dr congo,publico,0,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,dr congo,publico,0,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,dr congo,publico,0,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,congo,publico,5872,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,congo,publico,5680,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,congo,publico,0,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,congo,publico,0,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,congo,publico,0,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,direitos humanos,publico,23849,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,direitos humanos,publico,32286,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,direitos humanos,publico,0,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,direitos humanos,publico,0,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,direitos humanos,publico,0,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,república centro-africana,publico,83,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,república centro-africana,publico,33,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,república centro-africana,publico,0,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,república centro-africana,publico,0,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,república centro-africana,publico,0,"https://arquivo.pt/textsearch?q=república centro-africana&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,ataque,publico,22016,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,ataque,publico,27436,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,ataque,publico,0,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,ataque,publico,0,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,ataque,publico,0,"https://arquivo.pt/textsearch?q=ataque&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,violência,publico,31937,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,violência,publico,36792,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,violência,publico,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,violência,publico,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,violência,publico,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,condena ,publico,3464,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,condena ,publico,4768,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,condena ,publico,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,condena ,publico,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
